uid,r_auto,r_true,r_full,u_auto,u_true,u_full,n_auto,n_true,n_full
GtmNQJG7s4s,612.2181181064923,585.4353718902719,719.0,5.358953554183245,5.027164131402969,8.786256900744775,16,11,719
vZ1WdEToJEU,814.4885343758681,806.3134568371485,899.0,5.1407171953469515,5.069272704422474,7.952844556074069,19,18,899
U7FuNqJfaKY,622.9435095198892,593.8593576877054,718.0,4.5363214164972305,5.1808362901210785,10.001651136669576,13,10,718
0m-X72-bZhc,798.1532341920729,765.4427373779125,896.0,1.6697600977495313,1.4549581315368414,4.693263667049276,13,10,896
kKUmxtSB9q0,806.5571626263867,779.2131101886246,899.0,6.556877367198467,5.240776747465134,13.530316512518255,19,13,899
TVvFQX3BoL4,631.5175481479828,604.915814488405,718.0,5.078248830512166,4.02807541936636,10.31044865702279,17,13,718
w512vk6gLXg,630.2556972350687,619.2550477104978,718.0,6.720661759376526,6.415217697620392,13.624607792662573,18,16,718
faYcuihRYW8,770.8052522274957,732.0685320506198,901.0,4.49438330437988,2.9563604779541492,53.02463084692863,16,9,901
fCKQ55HiNjI,831.2279153626686,769.3992426176221,897.0,3.5043894313275814,2.672627955675125,10.900727353507914,18,10,897
yx8hujWmltg,831.111485493233,806.8130075179433,898.0,2.1844611377455294,1.6828798055648804,6.098275909524759,14,9,898
FFTEcxlosY4,832.3055238579584,810.4341918120448,897.0,2.7198440476786345,2.6326537504792213,3.8267099237853053,16,11,897
C1KwTMX7yPo,818.4962506438478,805.2626068667716,899.0,2.9591730050742626,3.420838873833418,6.032568097009971,11,11,899
79j1jxny4SY,777.218536979967,680.4706276824518,897.0,3.8203661672305316,3.4106585681438446,7.903605348945348,25,9,897
W2d9tXpt2ic,604.9513557364344,552.5100604464478,718.0,4.446679261513054,4.274907112121582,12.169829598278739,19,14,718
qG37Cd4ye7A,796.0136815488506,771.8196277978464,894.0,5.91924636438489,5.464838624000549,19.005502856862222,14,12,894
96GizktJJGc,615.9981364638102,622.001013767372,720.0,7.194828832522035,7.690135614946485,12.78296761993684,20,24,720
2Fa9najMzJ4,638.0857581304265,629.1493787684876,719.0,5.399461004883051,5.360702022910118,10.65900667043752,18,17,719
KG9Rx2MPDpo,827.9180926343436,806.1022568064332,898.0,5.302732581272721,5.134631343185902,9.11076013087586,17,13,898
dS96EbMSIqQ,789.092488002015,704.7746898764027,899.0,1.8872234039008617,1.3481179475784302,7.293475203219515,17,5,899
dOZwa8DsOGU,801.2453215538992,744.1591745671462,900.0,2.4317961214110255,2.188549019396305,2.3060838168693065,14,7,900
LrAm9oYaDLI,633.9631144192576,634.1929180225349,718.0,9.283891707658768,9.320903476327658,14.400036034203367,23,24,718
KO7Uc3r0JTY,845.3856432891575,846.8616223620462,898.0,0.42539812065660954,0.4462487334385514,5.994525504185731,6,9,898
cmtwz41oLdg,830.6869540885236,803.421981631298,899.0,4.794485105201602,3.5475173741579056,26.635172991291256,14,10,899
CTxz91-SvQo,689.6347171775883,635.3031662597712,767.0,2.2379687447100878,1.9091569930315018,3.9794949930456767,11,8,767
0bugwJQndjI,784.9645962896383,746.0111416463736,899.0,3.1221998147666454,2.0816080681979656,5.689331299631483,16,10,899
bNEm5--2uLI,786.0339825711332,720.4573343828138,892.0,3.4290686622262,1.4722675830125809,6.438035678735787,13,5,892
wJ1Hcgh-6Tk,822.8073264855057,794.2744560382682,897.0,3.661903166328557,3.3523563109338284,11.644072243110415,13,9,897
ICKXdV_-m2w,901.8553925192837,875.4525573867302,991.0,6.116820776835084,5.378141317516565,19.564513645292905,19,14,991
NeWBOWdZ92M,842.7283934319823,845.9051735939969,900.0,1.4560405518859625,1.5171435326337814,5.28421590065841,12,14,900
FMArORE6D3o,652.5891779899431,611.4236356937627,718.0,1.8716256078332663,1.7906212508678436,7.76978930942505,11,6,718
60pD5YEEyN4,807.4787773316737,798.1321367436947,897.0,4.619152747094631,4.173534084111452,27.744058415928556,19,17,897
VmjZIPHNCRY,805.3237233275502,767.123798212689,898.0,3.0486471680924296,2.8755791671574116,7.636127345389923,16,11,898
RoJ-nOAWT3A,831.408218268321,820.1412917163409,898.0,2.77516130823642,2.8227531732991338,11.345830929671003,16,15,898
VTEvyoz2_-Y,751.4234506599566,720.0043410695723,900.0,3.600599627941847,3.24392306804657,10.71347670295063,17,11,900
fZgmydmDduk,846.3598184111638,800.8432320115656,900.0,0.17577072326093912,0.05698515847325325,1.0834344509639777,8,3,900
jrNF4VGfmvc,830.7886478815096,809.8808363586314,893.0,6.428272652439773,4.820910852402449,7.435676433186604,16,13,893
O9-3M1Lwzfs,759.1952575262696,732.5928728410577,900.0,5.593333009630442,5.182760488241911,10.894427518048792,15,13,900
-HbCGg6dUmU,1645.7898112186235,1567.193120675011,1795.0,3.678394405171275,3.4954917542636395,8.230402263608312,25,15,1795
I_BHyGE1QrY,643.1124387648645,639.6792685457078,720.0,4.287862159311771,4.322011252399534,6.397656065128103,14,15,720
doe_nTBQ4MY,789.0672865037793,782.1741270510764,897.0,5.177614659070969,6.368494598194957,11.812202006431363,13,15,897
